title,Indie,Action,Adventure,Casual,Strategy,Simulation,RPG,Singleplayer,Multiplayer
Garry's Mod,1,1,1,0,0,1,0,1,1
Mount &amp; Blade: Warband,1,1,1,0,1,1,1,1,1
Sid Meier's Civilization® V,0,0,0,0,1,1,0,1,1
Fallout: New Vegas,0,1,1,0,0,0,1,1,0
Call of Duty®: Black Ops,0,1,1,0,0,0,0,1,1
RIFT,0,1,1,0,1,0,1,1,1
Portal 2,0,1,1,0,1,0,0,1,1
Spiral Knights,1,1,1,1,0,0,1,1,1
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0,1,0,0,1,1,0,1,1
The Binding of Isaac,1,1,1,0,0,0,1,1,0
Realm of the Mad God,1,1,1,1,1,0,1,0,1
Counter-Strike: Global Offensive,0,1,0,0,1,0,0,0,1
Company of Heroes 2,0,1,1,0,1,1,0,1,1
Insurgency,1,1,1,0,1,1,0,1,1
BattleBlock Theater®,1,1,1,1,0,0,0,1,1
The Binding of Isaac: Rebirth,1,1,0,0,0,0,0,1,0
AdVenture Capitalist,1,0,1,1,1,1,0,1,0
TERA,0,1,1,0,0,0,1,0,1
Clicker Heroes,1,1,1,1,1,1,1,1,1
Rocket League®,1,1,0,1,0,0,0,1,1
METAL GEAR SOLID V: THE PHANTOM PAIN,0,1,1,0,0,0,0,1,1
Prison Architect,1,1,0,1,1,1,0,1,0
Call of Duty®: Black Ops III,0,1,0,0,0,1,0,1,1
Starbound,1,1,1,0,0,0,1,1,1
Heroes &amp; Generals,1,1,1,0,1,1,0,1,1
Killing Floor 2,1,1,0,0,0,0,0,1,1
ARK: Survival Evolved,1,1,1,0,0,0,1,1,1
Brawlhalla,1,1,1,0,0,0,0,1,1
Robocraft,1,1,1,0,1,1,1,0,1
Unturned,1,1,1,1,0,0,0,1,1
Don't Starve Together,1,1,1,0,1,1,0,1,1
DARK SOULS™ III,0,1,1,0,0,0,1,1,1
Tom Clancy's Rainbow Six® Siege,0,1,0,1,1,1,0,1,1
Fallout 4,0,1,1,1,0,0,1,1,0
Trove,0,1,1,1,0,0,1,0,1
Dirty Bomb®,0,1,0,0,0,0,0,1,1
Grand Theft Auto V,0,1,1,0,0,0,1,1,1
Cities: Skylines,0,1,0,1,1,1,0,1,0
Dying Light,0,1,1,0,0,0,1,1,1
Borderlands: The Pre-Sequel,0,1,1,0,0,0,1,1,1
DARK SOULS™ II,0,1,1,0,0,0,1,1,1
FINAL FANTASY XIV Online,0,1,1,0,0,0,1,0,1
Loadout,1,1,0,1,0,0,0,0,1
DayZ,1,1,1,0,0,1,0,0,1
Rust,1,1,1,0,0,1,0,0,1
No More Room in Hell,1,1,1,0,0,0,0,0,1
Arma 3,0,1,0,0,1,1,0,1,1
Total War™: ROME II - Emperor Edition,0,1,0,0,1,1,0,1,1
Saints Row IV,0,1,1,0,0,0,0,1,1
Europa Universalis IV,0,0,0,0,1,1,0,1,1
Age of Empires II HD,0,1,1,0,1,0,0,1,1
Warframe,0,1,0,0,0,0,1,1,1
Ace of Spades: Battle Builder,1,1,1,1,0,0,0,0,1
Far Cry 3,0,1,1,0,0,0,1,1,1
PlanetSide 2,0,1,1,0,1,0,1,0,1
Natural Selection 2,1,1,1,0,1,0,0,0,1
Chivalry: Medieval Warfare,1,1,0,0,0,1,0,0,1
Castle Crashers®,1,1,1,1,0,0,1,0,1
Torchlight II,1,1,1,0,0,0,1,1,1
XCOM: Enemy Unknown,0,1,0,0,1,0,1,1,1
Borderlands 2,0,1,1,0,0,0,1,1,1
DARK SOULS™: Prepare To Die™ Edition,0,1,1,0,0,0,1,1,1
Awesomenauts - the 2D moba,1,1,0,0,1,0,0,0,1
Saints Row: The Third,0,1,1,0,0,0,1,1,1
Dungeon Defenders,1,1,0,0,1,0,1,1,1
PAYDAY™ The Heist,1,1,1,0,1,1,1,1,1
Terraria,1,1,1,0,0,0,1,1,1
Magicka,1,1,1,0,1,0,1,1,1
Day of Defeat: Source,0,1,0,0,1,1,0,0,1
Arma 2: Operation Arrowhead,0,1,0,0,1,1,0,1,1
Just Cause 2,0,1,1,0,0,0,0,1,1
Left 4 Dead 2,0,1,1,0,0,0,0,1,1
Borderlands,0,1,1,0,0,0,1,1,1
Killing Floor,0,1,1,0,0,0,0,1,1
Empire: Total War™,0,1,1,0,1,0,0,1,1
Left 4 Dead,0,1,1,0,0,0,0,1,1
Counter-Strike: Source,0,1,0,0,1,1,0,1,1
Half-Life 2,0,1,1,0,0,0,0,1,1
